Date,HomeTeam,AwayTeam,HomeAverageAge,AwayAverageAge,HomeAverageValue,AwayAverageValue
20/09/2009,Man United,Man City,27,26,17227272,13454545
20/09/2009,Wolves,Fulham,23,29,2590909,4409090
26/09/2009,Birmingham,Bolton,26,27,4318181,3727272
26/09/2009,Blackburn,Aston Villa,27,27,4818181,12227272
26/09/2009,Fulham,Arsenal,29,24,4409090,10454545
26/09/2009,Liverpool,Hull,26,27,19636363,2686363
26/09/2009,Portsmouth,Everton,26,26,2590909,9909090
26/09/2009,Stoke,Man United,28,26,3363636,17909090
26/09/2009,Tottenham,Burnley,25,28,12454545,2136363
26/09/2009,Wigan,Chelsea,26,28,0,25000000
27/09/2009,Sunderland,Wolves,25,23,7772727,2590909
28/09/2009,Man City,West Ham,27,25,12727272,3909090
3/10/2009,Bolton,Tottenham,27,25,3318181,12000000
3/10/2009,Burnley,Birmingham,28,27,2363636,3816363
3/10/2009,Hull,Wigan,28,26,2954545,0
3/10/2009,Man United,Sunderland,25,25,14500000,7772727
3/10/2009,Wolves,Portsmouth,23,27,2590909,3045454
4/10/2009,Arsenal,Blackburn,25,26,10727272,3704545
4/10/2009,Chelsea,Liverpool,29,25,25136363,21045454
4/10/2009,Everton,Stoke,26,29,9454545,3409090
4/10/2009,West Ham,Fulham,25,28,3863636,3454545
5/10/2009,Aston Villa,Man City,27,27,12345454,14000000
17/10/2009,Arsenal,Birmingham,24,27,8500000,4177272
